id,companyName,companyNameKana,industryCode,industryName,prefecture,city,establishedYear,employees,scale,revenueMillionYen,businessDescription,website,demandSignal,demandSignalDetail,registeredActivity,challengeTitle,challengeDetail,challengeCategory,challengeUrgency,seekingProposals,targetDepartment,targetRole,salesScore,existingCustomer,approachStatus,createdAt,fictional,disclaimer
"FC-00001","合同会社アークアグリソリューションズ","合同会社 アーク アグリ ソリューションズ","agriculture","農業・林業","茨城県","あおば市","1966","87","中小企業","1044","スマート農業設備の運営","https://example.invalid/agriculture/001","問い合わせと顧客対応を効率化したい","問い合わせ情報が複数部署に分散しており、対応状況を一元管理できる仕組みを探しています。","人員採用の拡大","問い合わせと顧客対応を効率化したい","問い合わせ情報が複数部署に分散しており、対応状況を一元管理できる仕組みを探しています。","営業・顧客管理","中","true","生産管理部","責任者","72","false","情報収集中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00002","株式会社アークアグリパートナーズ","株式会社 アーク アグリ パートナーズ","agriculture","農業・林業","新潟県","若葉市","1977","374","中堅企業","4862","農産物の生産・加工・流通","https://example.invalid/agriculture/002","採用後の教育と定着を改善したい","人員拡大に対して教育担当者が不足しており、研修の標準化と定着支援を相談したいです。","既存施設の改修","採用後の教育と定着を改善したい","人員拡大に対して教育担当者が不足しており、研修の標準化と定着支援を相談したいです。","人材・労務","高","true","生産管理部","企画担当","89","false","アプローチ準備中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00003","合同会社アークアグリワークス","合同会社 アーク アグリ ワークス","agriculture","農業・林業","静岡県","豊栄市","1988","1111","大企業","15554","温室・農業施設の管理","https://example.invalid/agriculture/003","新サービスの販売パートナーを探したい","新サービスの提供地域を広げるため、共同提案や販売連携が可能な企業を探しています。","事業エリアの拡大","新サービスの販売パートナーを探したい","新サービスの提供地域を広げるため、共同提案や販売連携が可能な企業を探しています。","事業開発","低","true","生産管理部","部長","61","false","未対応","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00004","株式会社アークアグリグループ","株式会社 アーク アグリ グループ","agriculture","農業・林業","奈良県","清流市","1999","46","小規模","690","スマート農業設備の運営","https://example.invalid/agriculture/004","現場の安全管理と品質記録を強化したい","点検記録と事故予防の仕組みを見直しており、導入負担の小さい安全管理提案を受け付けています。","DX推進組織の新設","現場の安全管理と品質記録を強化したい","点検記録と事故予防の仕組みを見直しており、導入負担の小さい安全管理提案を受け付けています。","安全・品質","中","true","生産管理部","課長","78","false","情報収集中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00005","合同会社アークアグリコーポレーション","合同会社 アーク アグリ コーポレーション","agriculture","農業・林業","徳島県","旭市","2010","235","中小企業","3760","農産物の生産・加工・流通","https://example.invalid/agriculture/005","手作業と紙中心の業務をデジタル化したい","部門間の情報共有が手作業になっているため、現場へ定着しやすい業務システムの提案を募集しています。","安全管理方針の強化","手作業と紙中心の業務をデジタル化したい","部門間の情報共有が手作業になっているため、現場へ定着しやすい業務システムの提案を募集しています。","DX・IT","高","true","生産管理部","責任者","95","false","アプローチ準備中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00006","株式会社ネクサスアグリソリューションズ","株式会社 ネクサス アグリ ソリューションズ","agriculture","農業・林業","熊本県","みなと市","2021","522","中堅企業","8874","温室・農業施設の管理","https://example.invalid/agriculture/006","在庫差異と配送負担を減らしたい","在庫状況の把握に時間がかかっており、入出庫と配送計画を改善する提案を募集しています。","業務提携の締結","在庫差異と配送負担を減らしたい","在庫状況の把握に時間がかかっており、入出庫と配送計画を改善する提案を募集しています。","物流・在庫","低","true","生産管理部","企画担当","67","false","未対応","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00007","合同会社ネクサスアグリパートナーズ","合同会社 ネクサス アグリ パートナーズ","agriculture","農業・林業","岩手県","高台市","1964","1259","大企業","22662","スマート農業設備の運営","https://example.invalid/agriculture/007","エネルギー・運用費を削減したい","拠点運営費が増加しているため、効果を測定できる省エネ・コスト削減策を求めています。","設備更新予算の増額","エネルギー・運用費を削減したい","拠点運営費が増加しているため、効果を測定できる省エネ・コスト削減策を求めています。","コスト削減","中","true","生産管理部","部長","84","false","情報収集中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00008","株式会社ネクサスアグリワークス","株式会社 ネクサス アグリ ワークス","agriculture","農業・林業","群馬県","新生市","1975","42","小規模","798","農産物の生産・加工・流通","https://example.invalid/agriculture/008","設備の老朽化と保守負担を減らしたい","既存設備の故障と保守工数が増えており、更新計画と運用改善を一緒に提案できる企業を探しています。","省エネ投資の開始","設備の老朽化と保守負担を減らしたい","既存設備の故障と保守工数が増えており、更新計画と運用改善を一緒に提案できる企業を探しています。","設備・施設","高","true","生産管理部","課長","56","false","アプローチ準備中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00009","合同会社ネクサスアグリグループ","合同会社 ネクサス アグリ グループ","agriculture","農業・林業","石川県","平和市","1986","133","中小企業","2660","温室・農業施設の管理","https://example.invalid/agriculture/009","問い合わせと顧客対応を効率化したい","問い合わせ情報が複数部署に分散しており、対応状況を一元管理できる仕組みを探しています。","新サービスの発表","問い合わせと顧客対応を効率化したい","問い合わせ情報が複数部署に分散しており、対応状況を一元管理できる仕組みを探しています。","営業・顧客管理","低","true","生産管理部","責任者","73","false","未対応","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
"FC-00010","株式会社ネクサスアグリコーポレーション","株式会社 ネクサス アグリ コーポレーション","agriculture","農業・林業","三重県","希望市","1997","670","中堅企業","14070","スマート農業設備の運営","https://example.invalid/agriculture/010","採用後の教育と定着を改善したい","人員拡大に対して教育担当者が不足しており、研修の標準化と定着支援を相談したいです。","新拠点の開設計画","採用後の教育と定着を改善したい","人員拡大に対して教育担当者が不足しており、研修の標準化と定着支援を相談したいです。","人材・労務","中","true","生産管理部","企画担当","90","false","情報収集中","2026-08-30","true","本データはデモ用途の架空企業です。実在の企業・団体とは関係ありません。"
